Time,Cell,Users,Traffic_GB,Throughput_Mbps,CPU_Usage,Load_Ratio,Energy_W,Active,Efficiency_Throughput_Mbps_per_W,Efficiency_Data_Transfer_GB_per_W,Efficiency_Users_per_W
2026-01-01 00:00,Cell A,21,4.56,18.3,21.4,0.183,101.9,True,0.17959,0.04475,0.20608
2026-01-01 00:00,Cell B,25,5.21,20.8,23.8,0.208,105.0,True,0.1981,0.04962,0.2381
2026-01-01 00:00,Cell C,19,4.08,16.3,19.7,0.163,99.6,True,0.16365,0.04096,0.19076
2026-01-01 00:00,Cell D,16,3.42,13.7,17.3,0.137,96.4,True,0.14212,0.03548,0.16598
2026-01-01 00:00,Cell E,6,1.39,5.6,10.0,0.056,86.7,True,0.06459,0.01603,0.0692
2026-01-01 00:00,Cell F,17,3.68,14.7,18.3,0.147,97.7,True,0.15046,0.03767,0.174
2026-01-01 00:05,Cell A,16,3.45,13.8,17.4,0.138,96.6,True,0.14286,0.03571,0.16563
2026-01-01 00:05,Cell B,12,2.69,10.7,14.7,0.107,92.9,True,0.11518,0.02896,0.12917
2026-01-01 00:05,Cell C,13,2.72,10.9,14.8,0.109,93.0,True,0.1172,0.02925,0.13978
2026-01-01 00:05,Cell D,10,2.25,9.0,13.1,0.09,90.8,True,0.09912,0.02478,0.11013
2026-01-01 00:05,Cell E,4,0.99,4.0,8.6,0.04,84.8,True,0.04717,0.01167,0.04717
2026-01-01 00:05,Cell F,19,4.06,16.2,19.6,0.162,99.5,True,0.16281,0.0408,0.19095
2026-01-01 00:10,Cell A,26,5.5,22.0,24.8,0.22,106.4,True,0.20677,0.05169,0.24436
2026-01-01 00:10,Cell B,14,3.08,12.3,16.1,0.123,94.8,True,0.12975,0.03249,0.14768
2026-01-01 00:10,Cell C,8,1.86,7.5,11.7,0.075,88.9,True,0.08436,0.02092,0.08999
2026-01-01 00:10,Cell D,13,2.81,11.2,15.1,0.112,93.5,True,0.11979,0.03005,0.13904
2026-01-01 00:10,Cell E,17,3.55,14.2,17.8,0.142,97.0,True,0.14639,0.0366,0.17526
2026-01-01 00:10,Cell F,10,2.13,8.5,12.7,0.085,90.2,True,0.09424,0.02361,0.11086
2026-01-01 00:15,Cell A,30,6.32,25.3,27.7,0.253,110.3,True,0.22937,0.0573,0.27199
2026-01-01 00:15,Cell B,27,5.77,23.1,25.8,0.231,107.7,True,0.21448,0.05357,0.2507
2026-01-01 00:15,Cell C,6,1.34,5.3,9.8,0.053,86.4,True,0.06134,0.01551,0.06944
2026-01-01 00:15,Cell D,23,4.95,19.8,22.8,0.198,103.7,True,0.19094,0.04773,0.22179
2026-01-01 00:15,Cell E,4,0.91,3.6,8.3,0.036,84.4,True,0.04265,0.01078,0.04739
2026-01-01 00:15,Cell F,9,2.06,8.2,12.4,0.082,89.9,True,0.09121,0.02291,0.10011
2026-01-01 00:20,Cell A,12,2.59,10.4,14.3,0.104,92.4,True,0.11255,0.02803,0.12987
2026-01-01 00:20,Cell B,22,4.67,18.7,21.8,0.187,102.4,True,0.18262,0.04561,0.21484
2026-01-01 00:20,Cell C,6,1.39,5.6,10.0,0.056,86.7,True,0.06459,0.01603,0.0692
2026-01-01 00:20,Cell D,23,4.8,19.2,22.3,0.192,103.0,True,0.18641,0.0466,0.2233
2026-01-01 00:20,Cell E,2,0.5,2.0,6.8,0.02,82.4,True,0.02427,0.00607,0.02427
2026-01-01 00:20,Cell F,17,3.69,14.7,18.3,0.147,97.7,True,0.15046,0.03777,0.174
2026-01-01 00:25,Cell A,29,6.07,24.3,26.9,0.243,109.2,True,0.22253,0.05559,0.26557
2026-01-01 00:25,Cell B,16,3.41,13.6,17.3,0.136,96.4,True,0.14108,0.03537,0.16598
2026-01-01 00:25,Cell C,12,2.56,10.2,14.2,0.102,92.3,True,0.11051,0.02774,0.13001
2026-01-01 00:25,Cell D,14,3.02,12.1,15.9,0.121,94.5,True,0.12804,0.03196,0.14815
2026-01-01 00:25,Cell E,15,3.16,12.6,16.4,0.126,95.2,True,0.13235,0.03319,0.15756
2026-01-01 00:25,Cell F,10,2.19,8.8,12.9,0.088,90.5,True,0.09724,0.0242,0.1105
2026-01-01 00:30,Cell A,20,4.35,17.4,20.7,0.174,100.9,True,0.17245,0.04311,0.19822
2026-01-01 00:30,Cell B,28,5.99,24.0,26.6,0.24,108.8,True,0.22059,0.05506,0.25735
